code,label_ja,label_hierarchical
913.52,浮世草子：井原西鶴，江島其碩,小説．物語/近世：江戸時代/浮世草子：井原西鶴，江島其碩
913.53,洒落本：山東京伝，大田南畝,小説．物語/近世：江戸時代/洒落本：山東京伝，大田南畝
913.54,人情本：為永春水,小説．物語/近世：江戸時代/人情本：為永春水
913.55,滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈
913.56,読本：滝沢馬琴，上田秋成,小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成
913.57,草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻
913.59,咄本：醒睡笑,小説．物語/近世：江戸時代/咄本：醒睡笑
913.6,近代：明治以後,日本文学/小説．物語/近代：明治以後
913.68,複数作家の作品集,小説．物語/近代：明治以後/複数作家の作品集
913.7,講談・落語本．笑話集,日本文学/小説．物語/講談・落語本．笑話集
913.8,童話,日本文学/小説．物語/童話
913.9,翻訳小説,日本文学/小説．物語/翻訳小説
914,評論．エッセイ．随筆,日本文学/評論．エッセイ．随筆
914.3,古代：平安時代まで,日本文学/評論．エッセイ．随筆/古代：平安時代まで
914.4,中世：鎌倉・室町時代,日本文学/評論．エッセイ．随筆/中世：鎌倉・室町時代
914.42,方丈記,評論．エッセイ．随筆/中世：鎌倉・室町時代/方丈記
914.45,徒然草,評論．エッセイ．随筆/中世：鎌倉・室町時代/徒然草
914.5,近世：江戸時代,日本文学/評論．エッセイ．随筆/近世：江戸時代
914.6,近代：明治以後,日本文学/評論．エッセイ．随筆/近代：明治以後
914.68,複数作家の作品集,評論．エッセイ．随筆/近代：明治以後/複数作家の作品集
915,日記．書簡．紀行,日本文学/日記．書簡．紀行
915.3,古代：平安時代まで,日本文学/日記．書簡．紀行/古代：平安時代まで
915.32,土佐日記,日記．書簡．紀行/古代：平安時代まで/土佐日記
915.33,蜻蛉日記,日記．書簡．紀行/古代：平安時代まで/蜻蛉日記
915.34,和泉式部日記,日記．書簡．紀行/古代：平安時代まで/和泉式部日記
915.35,紫式部日記,日記．書簡．紀行/古代：平安時代まで/紫式部日記
915.36,更級日記,日記．書簡．紀行/古代：平安時代まで/更級日記
915.37,讃岐典待日記,日記．書簡．紀行/古代：平安時代まで/讃岐典待日記
915.39,その他の日記,日記．書簡．紀行/古代：平安時代まで/その他の日記
