year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1861,続新撰朗詠集 : 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1849,続英雄百人一首,詩歌,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1809,続詩学貫珠,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1845,続近世叢語 : 8巻,その他,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1810,續膝栗毛,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1858,義士三度仇討,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1850,義烈百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1850,翁草,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1828,膝麿毛,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1815,芭蕉翁附合集評註,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1860,花封莟玉章,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1862,花裘狐草子,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1862,花裘狐草紙 3編12巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1849,芳新集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1807,芸苑日渉 : 12巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1804,苗代,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1863,若葉梅浮名横櫛 : 3編,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1844,英雄百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1833,茅窓漫録,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,草野集 : 12巻,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1858,葎居後集 : 3巻,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1850,葛葉九重錦,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1847,蒼■翁俳諧集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1847,蒼虬翁俳諧集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1832,薄こほり,詩歌,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1858,薄俤幻日記,小説．物語,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1813,蘭室集略 : 12巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1834,蝶雙春花壇,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1820,襍土一覧,小説．物語,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1860,西国奇談,小説．物語,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1819,西遊詩草 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1860,詠史絶句,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,詠歌眼目,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
